Id,Date,Transaction
0,8/8,+968.62
1,4/2,-439.44
2,7/14,+268.25
3,11/14,-687.55
4,4/7,+577.31
5,11/14,-64.45
6,10/7,+500.98
7,8/10,-986.05
8,11/2,+779.23
9,2/2,+506.68
10,5/1,+407.45
11,9/3,-76.54
12,3/4,-732.11
13,9/14,+387.15
14,8/6,+57.5
15,1/14,+627.86
16,1/14,+201.39
17,11/9,-985.27
18,3/15,-786.19
19,9/13,+884.55
20,11/9,+503.08
21,8/2,+892.31
22,11/10,-360.3
23,5/2,-396.08
24,3/7,+263.55
25,11/13,+40.62
26,3/9,-870.99
27,6/10,+198.13
28,5/4,+853.35
29,1/13,-224.66
30,7/19,+259.16
31,1/17,+835.58
32,8/1,+669.29
33,6/4,-17.86
34,2/16,-249.67
35,7/16,-33.54
36,7/12,+790.8
37,2/14,+448.72
38,9/17,+300.53
39,2/4,+721.03
40,1/3,+953.41
41,3/3,-472.4
42,4/19,+836.04
43,1/12,-153.34
44,3/15,+490.03
45,3/18,+138.01
46,10/11,-456.96
47,1/10,+361.33
48,1/14,+424.47
49,2/9,-157.86
50,2/3,-415.65
51,2/3,+758.66
52,7/12,-339.21
53,6/9,-120.06
54,6/15,-553.93
55,6/16,+284.86
56,6/12,-667.91
57,8/18,-553.06
58,8/9,-314.12
59,5/6,-990.58
60,9/17,-81.31
61,2/18,-23.67
62,5/3,-356.94
63,9/8,-534.08
64,2/18,-335.39
65,9/2,-808.68
66,11/1,+215.29
67,4/13,+210.08
68,2/5,-203.94
69,8/4,+836.34
70,3/19,+177.55
71,6/4,+6.98
72,4/2,+806.18
73,2/7,-65.18
74,5/18,-182.55
75,4/1,+458.26
76,5/16,-193.64
77,3/4,-802.76
78,5/17,-371.44
79,9/4,+840.99
80,10/15,+323.02
81,10/2,-744.2
82,5/15,+726.88
83,2/6,+576.55
84,11/17,-669.04
85,5/5,-990.13
86,8/14,-633.72
87,6/9,-187.36
88,3/6,-607.29
89,3/17,-736.47
90,1/5,+867.6
91,1/14,+829.82
92,10/12,-725.33
93,10/3,-819.95
94,3/2,+904.73
95,4/18,-701.77
96,1/15,+359.08
97,11/12,+110.46
98,9/8,-883.93
99,11/16,+614.95
100,5/14,+162.95
101,7/14,-417.11
102,11/14,+211.99
103,5/18,-837.34
104,5/8,-714.19
105,8/14,+253.61
106,8/12,-471.31
107,4/14,-577.29
108,9/10,-517.87
109,5/10,-995.5
110,2/17,-678.31
111,6/2,-924.45
112,11/18,+942.2
113,11/9,+84.28
114,7/19,+81.19
115,10/10,-459.54
116,9/1,-216.93
117,6/14,-704.04
118,10/7,-637.95
119,11/13,-232.31
120,5/5,+890.68
121,3/3,-815.81
122,8/14,-972.52
123,10/7,+615.9
124,1/16,-236.09
125,4/1,-691.31
126,3/13,-613.0
127,3/4,-223.06
128,3/7,-581.96
129,9/10,-598.99
130,1/15,+403.09
131,11/12,+788.0
132,2/2,-71.17
133,9/4,-341.29
134,11/15,+776.6
135,7/8,+617.9
136,3/3,-873.48
137,4/3,+418.84
138,6/1,+58.64
139,4/12,-917.15
140,10/3,-101.59
141,9/16,+846.79
142,7/17,-392.66
143,6/6,+634.21
144,5/4,+916.69
145,8/18,-76.76
146,10/11,+904.52
147,6/2,+798.63
148,1/4,+397.82
149,6/7,+454.63
150,2/13,+91.78
151,3/8,+142.08
152,8/9,+163.07
153,5/1,-949.87
154,1/12,-10.45
155,5/9,-723.87
156,6/7,+157.22
157,6/19,+804.93
158,11/9,+990.15
159,10/14,-792.07
160,5/1,+257.16
161,4/5,-855.35
162,2/10,+758.68
163,5/18,+306.7
164,9/13,-540.27
165,6/2,-665.68
166,2/17,+484.77
167,2/10,+726.43
168,5/18,+28.39
169,5/12,-215.66
170,4/1,+653.97
171,4/11,+466.73
172,11/15,-816.57
173,6/9,-789.41
174,7/19,+344.49
175,8/12,+841.01
176,6/3,-341.26
177,5/17,+548.84
178,11/10,+633.48
179,8/15,+883.99
180,2/17,+545.05
181,11/1,-113.39
182,4/6,-438.14
183,10/15,+206.92
184,6/14,-258.02
185,4/19,-538.49
186,3/15,-45.72
187,11/1,+750.13
188,5/1,+954.42
189,5/19,+896.21
190,6/3,+608.37
191,2/4,+363.96
192,1/15,+691.41
193,7/4,+38.5
194,9/10,-500.64
195,6/18,+541.92
196,6/12,-766.33
197,3/19,+6.25
198,8/19,-249.3
199,8/1,+973.89
200,2/2,-229.37
201,5/6,-681.85
202,9/19,+931.29
203,8/7,-993.15
204,1/15,+318.41
205,1/10,-751.74
206,6/18,-114.4
207,11/14,-141.11
208,10/12,+990.82
209,4/11,+221.07
210,6/2,+520.03
211,5/10,+618.88
212,1/2,-750.6
213,3/3,-633.98
214,5/17,+733.51
215,8/17,+353.59
216,2/9,+817.01
217,2/15,-983.07
218,5/16,-49.59
219,1/18,+977.35
220,9/17,+483.42
221,5/6,-62.62
222,4/12,+742.28
223,10/17,+858.59
224,5/1,+0.76
225,11/1,+450.24
226,6/4,+572.98
227,8/7,-948.47
228,3/15,+75.9
229,5/8,-176.49
230,2/10,-592.99
231,1/19,-625.48
232,3/14,+393.24
233,2/1,-306.24
234,7/18,+569.31
235,9/8,+730.84
236,6/12,+219.04
237,8/3,+706.41
238,5/16,-833.44
239,6/17,-968.85
240,3/4,+225.49
241,11/16,-450.43
242,6/2,+589.3
243,8/12,+341.31
244,1/1,+140.15
245,11/8,+181.76
246,10/4,+466.57
247,5/16,+628.9
248,6/8,-81.01
249,2/5,+628.19
250,4/7,-369.08
251,2/2,-271.7
252,7/3,-733.56
253,8/4,+44.33
254,4/6,+431.59
255,5/17,-360.4
256,4/3,-916.58
257,1/11,+282.51
258,10/12,+744.79
259,8/5,+180.02
260,3/16,+489.82
261,7/4,-861.38
262,1/9,-736.07
263,1/5,-422.64
264,8/19,+524.37
265,5/9,-320.38
266,2/11,+257.19
267,2/6,+426.14
268,5/11,+445.96
269,4/4,-36.85
270,4/16,-233.52
271,3/11,-478.62
272,6/14,-82.37
273,2/9,+197.58
274,2/8,+541.93
275,8/15,+426.16
276,8/2,-650.23
277,9/18,+892.03
278,5/16,-161.88
279,9/16,+712.32
280,2/11,+694.44
281,1/5,+426.16
282,7/16,+681.54
283,4/2,+98.21
284,6/7,-514.02
